"","Variable1","Variable2","Variable3","Variable4"
"1",3620,4406,6782,71.6
"2",257,1389,2133,33.8
"3",900,1523,1588,64.8
"4",2246,1636,1493,70
"5",449,428,511,29.5
"6",145,474,672,66.9
"7",13,224,279,23.8
"8",630,271,370,88.3
"9",1854,2692,3882,68.5
"10",898,2272,3395,62.5
"11",765,1091,1568,47.1
"12",5156,971,1520,62.5
"13",3375,2656,3765,62.7
"14",2681,1603,2424,23.1
"15",1258,1439,1886,61.5
"16",233,244,307,35.3
"17",38,201,247,28.7
"18",547,745,1061,40.1
"19",70,213,286,65.4
"20",264,85,136,34.8
"21",211,554,758,40.7
"22",330,783,964,37.7
"23",1968,7800,6457,64.9
"24",1785,1218,1954,59.5
"25",1705,1724,2440,54.3
"26",4818,4308,5574,74.8
"27",513,3863,2811,36
"28",4374,2078,2961,40.9
"29",12634,8472,13733,75.4
"30",3485,1389,2695,65.9
"31",4213,1327,2039,51.2
