"od" "ph" "nitrato" "abundancia" "riqueza"
"1" 11.636 7.155 0.081 74 85
"2" 13.313 6.275 0.076 46 60
"3" 14.225 6.569 0.07 61 51
"4" 10.349 6.245 0.099 84 102
"5" 13.485 6.486 0.1 71 85
"6" 13.572 6.986 0.048 74 117
"7" 12.351 6.56 0.097 74 91
"8" 12.382 6.774 0.076 46 97
"9" 12.362 6.285 0.079 74 77
"10" 11.994 6.834 0.114 98 110
"11" 12.461 6.36 0.143 94 72
"12" 11.872 7.185 0.186 91 38
"13" 12.123 6.246 0.089 69 58
"14" 13.073 7.068 0.184 74 64
"15" 14.084 6.326 0.074 51 47
"16" 12.875 6.786 0.146 77 79
"17" 12.423 6.641 0.222 84 106
"18" 11.97 6.305 0.119 117 65
"19" 12.054 6.573 0.093 101 80
"20" 15.73 6.945 0.12 67 79
"21" 13.152 7.221 0.191 86 105
"22" 12.446 6.735 0.074 52 85
"23" 12.502 6.383 0.175 98 44
"24" 13.519 6.812 0.173 100 106
"25" 12.216 6.44 0.133 127 85
"26" 11.364 7.191 0.12 88 54
"27" 13.649 6.647 0.102 67 101
"28" 11.843 6.563 0.105 80 62
"29" 12.983 6.401 0.146 66 78
"30" 11.942 7.189 0.203 59 122
