	var1	var2	var3	var4	var5	var6	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16	var17	var18	var19	var20	var21	var22	var23	var24	var25	var26	var27	var28	var29	var30	var31	var32	var33
m01	50	172.2	0.05	7.3	0.4	49000	8	86	3.3	8	18	36	0.03	0.2	170.5	4.4	16.4	0.37	7.1	7.37	93	152	39	113	0.65	21.2	3.28	42	5	69	93.4		13.5
m02	54	26	0.05	8.5	0.4	49000	8	77	2.2	10	18	33	0.03	0.2	24.3	4.1	1	0.37	7.6	7.69	38	78	4.5	73	0.65	19.6	2.48	16	4	72	96.5	117	3.9
m03	45	304.5	0.05	8.9	0.4	490	12	70	5.9	15	23	35	0.03	0.2	226.9	3	16	0.37	7.78	7.56	31	84	7	77	0.65	18.5	8.22	26	5	70		81	7.2
m04	46	68.2	0.05	8.5	0.4	3300	5	88	5.7	10	21	39	0.03	0.2	130.5	4.2	13.9	0.37	4.96	7.6	43	236	22	214	0.65	19	1.75	30	6	62	57.7	1	30.7
m05	44	81.8	0.05	9.7	1.76	490	6	7.38	3.3	8	24	34	0.15	0.2	113	2.4	7.8	2.12	7.31	8.2	41	166	38	128	0.65	21.7	1.79	57	5	72	95.5		11.5
m06	46	82.6	0.05	7.6	1.69	490	19	85	8	18	18	29	0.03	0.2	71.9	2.1	4.3	0.37	7.66	7.72	38	96	18	78	0.65	20.3	11.3	17	6	69	97.6	135	
m07	36	374.2	0.05	6.2	1.4	330	7	63	2.6	6	16	26	0.03	0.2	275.2	2.6	15.8	5	7.83	7.73	32	86	14	72	1.72	19.1	1.82	39	4	72		168	3.4
m08	42	85.5	0.05	8	1.22	330	10	85	0.65	4	20	35	0.03	0.2	225.5	3.7	6.8	2.44	5.41	7.77	45	265	16	240	0.65	18.1	3.59	24	5	71	64.2	116	19.8
m09	70	214.4	0.05	18.5	1.72	1700	4	172	3.9	8	46	77	0.15	0.2	131.7	7.3	17.8	2.45	7.32	7.86	86	212	61	151	3.69	24.8	2.04	69	5	70	95.3		14.4
m10	62	310.3	0.05	15.7	1.58	4900	26	122	29	50	35	75	0.03	0.2	127.3	5.5	7.6	5.52	7.78	7.32	61	268	127	141	0.65	22.9	18.4	27	8	57	98.1	155	55.5
m11	45	306	0.05	8.8	2.54	940	7	130	4.8	12	22	36	0.03	0.2	189.6	3.3	10.3	4	8.1	7.78	64	118	13	105	6.85	21.1	2.01	28	5	68		197	7.9
m12	84	37.2	0.05	21.1	1.96	230	5	174	2.6	8	53	77	0.03	0.2	21.4	5.8	1	2.38	5.38	7.81	86	364	24	340	0.65	21	1.04	55	5	67	60.4	126	26.4
m13	41	107.8	0.05	9.7	1.45	7900	8	90	3.6	10	24	50	0.24	0.2	194.4	6.4	28.1	3.98	7.95	7.7	60	198	56	142	7.59	17	2.04	33	5	70	98.8		8.4
m14	50	2114.8	0.05	10.1	1.47	790	15	111	12	18	25	40	0.38	0.2	964.8	4.6	44.9	3.4	8.09	7.58	55	232	75	157	6.09	15.3	10.2	17	7	66	98	185	17.2
m15	43	732.7	0.05	8.7	1.68	1100	11	101	6.5	11	22	39	0.03	0.2	445.4	4.1	59.3	5	7.92	7.39	50	196	43	153	11.99	16.7	8.01	32	6	65		130	9.7
m16	55	213.4	0.47	14.5	1.52	790	8	110	4.2	12	36	55	0.03	0.2	204	4.6	27	4	5.53	7.64	60	422	28	394	0.65	17.2	4.14	24	6	59	58.3	88	30.8
m17	44	286.3	0.05	8.1	1.39	2400	19	104	4.5	11	20	42	0.3	0.2	143.3	5.4	8	2.86	7.43	7.71	45	262	51	211	4.75	20.3	7.37	46	5	66	78.9	83	5.6
m18	61	278.6	0.05	9.8	1.45	170	5	197	5.2	11	17	40	0.26	0.2	150.5	4.7	8.3	2.61	7.9	7.8	39	122	7	115	3.71	18.6	1.11	27	5	74	99.4	183	5.3
m19	45	1440.2	0.05	7.7	1.61	1300	6	80	9	22	19	34	0.03	0.2	586.1	3.4	28.8	4.31	7.72	7.43	40	144	45	99	4.57	19	2.91	33	6	64		195	3.4
m20	52	117	0.39	12.9	1.54	330	6	112	1.6	5	32	50	0.03	0.2	109	4.3	7	3	5.73	7.77	50	312	20	292	0.65	18	2.1	40	5	69	63.2	124	19
m21	50	136.2	0.05	9.7	2.12	13000	22	121	36	210	24	44	0.22	1.84	422.5	4.9	19.5	0.37	3.25	6.92	60	163	48	115	6.7	36.7	4.01	3	10	42	56.2		21
m22	41	0	0.05	8.5	1.63	14000	10	101	12	23	22	45	0.28	0.2	1	3.8	1	2.21	7.59	7.78	50	280	11	269	3.71	20.4	7.18	20	7	64	97.3	147	
